BOTANICA I (1103018)	60	36T45
SEMINARIO DE PESQUISA I	30	2T45
ECOLOGIA SENSORIAL	30	3T23
INTRODUCAO A BIOTECNOLOGIA (1200664)	30	5M34
ESTUDO DIRIGIDO	30	2M23
ESTUDO DIRIGIDO	30	7M1234
TOPICOS ESPECIAIS EM INTERACAO HUMANO-COMPUTADOR	30	6M23
LEITURA DIRIGIDA: JOGOS E ROBOTICA COMO APOIO A CRIANCAS COM TRANSTORNO NO DESENVOLVIMENTO	30	2M23
ESTUDO DIRIGIDO	30	2M23
METODOLOGIA CIENTIFICA	30	4M23
ESTUDO DIRIGIDO	30	7M12
ESTUDO DIRIGIDO	30	2M23
METODOLOGIA CIENTIFICA	30	5T23
ESTUDO DIRIGIDO	30	7M12
METODOLOGIA CIENTIFICA	30	4M23
TEORIA E PRATICA DE TRADUCAO	30	5N34
ENSINO DE LEITURA DE LITERATURA	30	7M12345  7T12345
GENEROS ORAIS NA ESCOLA	30	7M12345  7T12345
SEMINARIO DE PESQUISA	30	3M45
EDUCACAO INTERDISCIPLINAR	30	7M12345  7T12345
TECNOLOGIAS DIGITAIS NA EDUCACAO	30	7M12345  7T12345
SEMINARIO DE PESQUISA II	30	2T23
TECNOLOGIA, INSPECAO E CONTROLE DE QUALIDADE DO PESCADO	30	2M45
TECNOLOGIA, INSPECAO E CONTROLE DE QUALIDADE DO PESCADO	30	3T23
CUNICULTURA	30	2T45
CUNICULTURA	30	3T23
ANALISE DE ALIMENTOS	30	5T23
TOPICOS ESPECIAIS II	30	5M45
INTRODUCAO A MEDICINA VETERINARIA (1200317)	30	3M45
ETICA PROFISSIONAL E BIOETICA NA EXPERIMENTACAO ANIMAL	30	27N1234
ONCOLOGIA	30	6T234
ONCOLOGIA	30	7T123
ONCOLOGIA	30	5N234
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
ELABORACAO E ANALISE DE VIABILIDADE DE PROJETOS	30	3T32
ELABORACAO E ANALISE DE VIABILIDADE DE PROJETOS	30	3T23
ELABORACAO E ANALISE DE VIABILIDADE DE PROJETOS	30	3T23
ELABORACAO E ANALISE DE VIABILIDADE DE PROJETOS	30	3T23
INOVACOES TECNOLOGICAS APLICADAS À SUSTENTABILIDADE DE AMBIENTES MARINHOS E ESTUARINOS	30	2T23
EZOOGNOSE E JULGAMENTO ANIMAL	30	2T45
SEMINARIO DE PESQUISA I	30	3T23
EZOOGNOSE E JULGAMENTO ANIMAL	30	6M45
EZOOGNOSE E JULGAMENTO ANIMAL	30	6M45
EZOOGNOSE E JULGAMENTO ANIMAL	30	6M45
EZOOGNOSE E JULGAMENTO ANIMAL	30	5T23
EZOOGNOSE E JULGAMENTO ANIMAL	30	2T45
EZOOGNOSE E JULGAMENTO ANIMAL	30	2T45
EZOOGNOSE E JULGAMENTO ANIMAL	30	2T45
EZOOGNOSE E JULGAMENTO ANIMAL	30	2T45
EZOOGNOSE E JULGAMENTO ANIMAL	30	2T45
SEMINARIO DE PESQUISA I	30	4T23
SEMINARIO DE PESQUISA II	30	4M23
SEMINARIO DE PESQUISA I	30	6T23
SEMINARIO DE PESQUISA II	30	3M23
SEMINARIO DE PESQUISA I	30	5M23
ETICA PROFISSIONAL E BIOETICA NA EXPERIMENTACAO ANIMAL	30	27N1234
METODOLOGIA DA REDACAO CIENTIFICA	30	4M15
EZOOGNOSE E JULGAMENTO ANIMAL	30	2T45
ANALISES QUIMICAS, INSTRUMENTAIS E SENSORIAIS DE ALIMENTOS	30	7M12345  7T12345  6N01234
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	3M45
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
INTRODUCAO A ENGENHARIA  DE PESCA (1200188)	30	5T23
EZOOGNOSE E JULGAMENTO ANIMAL	30	6M45
EZOOGNOSE E JULGAMENTO ANIMAL	30	6M45
EZOOGNOSE E JULGAMENTO ANIMAL (1200166)	30	6M45
EZOOGNOSE E JULGAMENTO ANIMAL	30	6M45
EZOOGNOSE E JULGAMENTO ANIMAL	30	6M45
EZOOGNOSE E JULGAMENTO ANIMAL	30	6M45
EZOOGNOSE E JULGAMENTO ANIMAL	30	6M45
EZOOGNOSE E JULGAMENTO ANIMAL	30	6M45
EZOOGNOSE E JULGAMENTO ANIMAL	30	6M45
EZOOGNOSE E JULGAMENTO ANIMAL	30	5T23
INTRODUCAO A MEDICINA VETERINARIA (1200317)	30	3M45
INTRODUCAO A MEDICINA VETERINARIA (1200317)	30	3M45
INTRODUCAO A MEDICINA VETERINARIA (1200317)	30	3M45
INTRODUCAO A MEDICINA VETERINARIA (1200317)	30	6T45
INTRODUCAO A MEDICINA VETERINARIA (1200317)	30	2T45
INTRODUCAO A MEDICINA VETERINARIA (1200317)	30	2T45
CIENCIA E TECNOLOGIA DO PROCESSAMENTO DE ALIMENTOS	30	7M12345  7T12345  6N01234
INTRODUCAO A MEDICINA VETERINARIA (1200317)	30	3M45
INTRODUCAO A MEDICINA VETERINARIA (1200317)	30	3M45
INTRODUCAO A MEDICINA VETERINARIA (1200317)	30	6T45
TECNICAS AVANCADAS NA AVALIACAO DA DOR EM ANIMAIS	30	4M2345
ANESTESIOLOGIA	30	6T234
ANESTESIOLOGIA	30	4N234
ANESTESIOLOGIA	30	6M45  6T1
ENGENHARIA DA QUALIDADE	30	7N23
INTRODUCAO A ENGENHARIA DE PRODUCAO (1200455)	30	3T45
INTRODUCAO A ENGENHARIA DE PRODUCAO (1200455)	30	3T45
PROJETO INTEGRADO DE SISTEMAS DE PRODUCAO	30	2T45
INTRODUCAO A ENGENHARIA DE PRODUCAO (1200455)	30	7M23
INTRODUCAO A ENGENHARIA DE PRODUCAO (1200455)	30	7M12
GESTAO DE PROJETOS II	30	5N34
GESTAO DE PROJETOS	30	2M45
MECANICA DOS SOLOS (1200130)	60	3M45 5M34
PROJETO INTEGRADO DE SISTEMAS DE PRODUCAO	30	4T45
PROJETO INTEGRADO DE SISTEMAS DE PRODUCAO	30	5T45
MECANICA DOS SOLOS (1200130)	60	35M34
MECANICA DOS SOLOS (1200130)	60	35M34
MECANICA DOS SOLOS (1200130)	60	35M34
MECANICA DOS SOLOS (1200130)	60	3M45 5M34
MECANICA DOS SOLOS (1200130)	60	3M45 5M34
MECANICA DOS SOLOS (1200130)	60	3M45 5M34
MECANICA DOS SOLOS (1200130)	60	3M45 5M34
SISTEMAS DE GESTAO INTEGRADOS	30	5T45
TOPICOS ESPECIAIS EM ENGENHARIA DE PRODUCAO	30	4T45
TOPICOS ESPECIAIS EM ENGENHARIA DE PRODUCAO	30	5T34
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	4T23
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	4T23
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	4T23
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	4T23
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	4T23
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	4T23
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	4T23
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	4T23
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	4T23
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	4T23
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	4T23
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	5T34
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	6T23
SEMINARIO DE INTRODUCAO AO CURSO (1200537)	30	7T12
SEMINARIO DE INTRODUCAO AO CURSO (1200537)	30	7T12
SEMINARIO DE INTRODUCAO AO CURSO (1200537)	30	7T23
SEMINARIO DE INTRODUCAO AO CURSO (1200537)	30	7T45
SEMINARIO DE INTRODUCAO AO CURSO (1200537)	30	7T23
INTRODUCAO A ENG.AGRIC.AMBIENTAL (1200318)	30	7M12
TOPICOS ESPECIAIS EM ENGENHARIA DE PRODUCAO	30	5N34
GESTAO DE OPERACOES EM SERVICOS	30	5N34
GESTAO DE OPERACOES EM SERVICOS	30	5N34
VIGILANCIA EPIDEMIOLOGICA DAS DTAS	30	5T234
VIGILANCIA EPIDEMIOLOGICA DAS DTAS	30	1M123
TOPICOS ESPECIAIS EM ENGENHARIA DE PRODUCAO	30	5N34
LEITURA DIRIGIDA: ESTUDO DA TEORIA SOCIAL COGNITIVA	30	5T23
LABORATORIO DE QUIMICA GERAL	30	5T23
LABORATORIO DE QUIMICA GERAL	30	5M34
LABORATORIO DE QUIMICA GERAL	30	5M34
LABORATORIO DE QUIMICA  BASICA (1200748)	30	3T45
LABORATORIO DE QUIMICA GERAL	30	3T23
LABORATORIO DE QUIMICA  BASICA (1200748)	30	3T45
LABORATORIO DE QUIMICA GERAL	30	3T23
LABORATORIO DE QUIMICA  BASICA (1200748)	30	3T45
LABORATORIO DE QUIMICA GERAL	30	5M34
LABORATORIO DE QUIMICA GERAL	30	4T45
LABORATORIO DE QUIMICA GERAL	30	5T23
LABORATORIO DE QUIMICA GERAL	30	5T45
LABORATORIO DE QUIMICA  BASICA (1200748)	30	3T45
LABORATORIO DE QUIMICA GERAL	30	4T23
LABORATORIO DE QUIMICA GERAL	30	4T45
LABORATORIO DE QUIMICA GERAL	30	5T23
LABORATORIO DE QUIMICA GERAL	30	4T23
LABORATORIO DE QUIMICA GERAL	30	4T45
LABORATORIO DE QUIMICA GERAL	30	5M34
LABORATORIO DE QUIMICA GERAL	30	5T45
LABORATORIO DE QUIMICA GERAL	30	5T45
SEMINARIO DE INTRODUCAO AO CURSO (1200537)	30	7T23
SEMINARIO DE INTRODUCAO AO CURSO (1200537)	30	7T23
SEMINARIO DE INTRODUCAO AO CURSO (1200537)	30	7T24
SEMINARIO DE INTRODUCAO AO CURSO (1200537)	30	7T45
SEMINARIO DE INTRODUCAO AO CURSO (1200537)	30	7T24
SEMINARIO DE INTRODUCAO AO CURSO (1200537)	30	7T23
SEMINARIO DE INTRODUCAO AO CURSO (1200537)	30	7T24
LABORATORIO DE ELETRICIDADE E MAGNETISMO (1200544)	30	4T23
LABORATORIO DE MECANICA CLASSICA (1200535)	30	3T23
LABORATORIO DE ELETRICIDADE E MAGNETISMO	30	4T23
LABORATORIO DE ELETRICIDADE E MAGNETISMO	30	3T23
LABORATORIO DE MECANICA CLASSICA (1200535)	30	3T45
LABORATORIO DE ONDAS E TERMODINAMICA	30	4M23
LABORATORIO DE ONDAS E TERMODINAMICA	30	4M45
LABORATORIO DE MECANICA CLASSICA (1200535)	30	5N34
LABORATORIO DE MECANICA CLASSICA (1200535)	30	5N34
MARCOS NO DESENVOLVIMENTO DA FISICA	30	6T23
LABORATORIO DE QUIMICA GERAL	30	5T23
LABORATORIO DE QUIMICA GERAL	30	6T23
LABORATORIO DE QUIMICA GERAL	30	5T23
LABORATORIO DE QUIMICA GERAL	30	6T23
LABORATORIO DE QUIMICA  BASICA (1200748)	30	3T45
