509,24N12
452,3N34 5N12
399,24T23
340,6N1234
309,25N34
288,3N1234
279,3T45 5T23
270,46N34
268,24M12
266,5N1234
257,2N1234
256,4T2345
256,4N1234
256,24N34
252,35N12
251,35T45
251,24T45
248,35T23
232,46M34
231,46T45
229,36N12
212,3N12 5N34
209,5T2345
208,25T45
204,6M2345
203,3T23 5T45
195,3M34 5M12
191,2N12 4N34
187,2T2345
185,2N34 4N12
183,4M2345
180,6T2345
179,35M45
174,36M12
167,35N34
164,5M2345
160,35M34
157,4N34 6N12
151,25M34
146,35M12
145,3T2345
139,4M345
139,3M2345
135,6M1234
134,5M1234
130,46N12
128,36T23
125,4M1234
124,4N12 6N34
124,35M23
122,3T345
122,3M1234
112,46T23
112,3N12
106,3N34
105,3M345
104,3T45
103,4T345
99,2M345
98,3T23
98,24M34
93,4T23
93,2M2345
91,7M2345
87,3M45 5M23
86,6M123
86,5T23
86,5N34
86,5M123
85,4N34
84,4N12
82,6N12
82,3M23 5M45
82,2N12 3N34
78,4T45
78,46M45
77,2T345
76,6T23
76,2N34
76,2M1234
74,24M45
74,23N12
73,2T23 4T45
72,6M12
72,56N12
72,3N12 6N34
72,2T45
71,5N12 6N34
71,2T45 4T23
70,7M1234
70,5N34 6N12
69,56N34
69,3M12
69,2N12 5N34
68,2N34 3N12
68,25N12
67,5M12
66,5T123
65,7T23
65,6N34
65,56T45
64,36T45
63,4M12
62,6T1234
62,2T1234
62,2N12
62,25T23
61,56T23
61,4N34 5N12
61,36N34
60,5T45
60,24T12
59,3M34  3T23
58,46M12
58,3N34 6N12
58,2M45 4M23
56,5N12
56,4M123
56,3T123
55,4M34
55,2T123
55,23T45
54,3T1234
54,2N34 5N12
54,23N34
54,23M12
53,4T23 6T45
52,6T123
52,5M345
49,4M45 6M23
49,4M45
48,45N12
48,2T23 5T45
48,23T23
48,23M45
47,5T1234
47,36M45
47,2M45 4M12
47,24M23
46,3M123
45,5M34
45,4M12 6M34
44,34T45
44,2M23 4M45
42,35T12
41,4T45 6T23
40,4M23
39,6M345
39,34N12
38,7M23
38,4T1234
38,2M123
37,4M2345 
36,7M12345  7T12345
36,3M45
36,2M34 4M12
35,6M2345 
35,2M34
34,4T2345 
34,45T45
34,45N34
34,3N12 4N34
34,3M23
34,36M23
33,5M45
33,4N12 5N34
33,4M23 6M45
32,6M45
32,6M12  3T23
32,5T12
32,46M23
32,3M34
32,245T12345 
31,6T45
30,7T2345
30,56M45
30,3T12 5T34
29,7M12
29,35T34
29,2T12 6T23
28,7T1234
28,6M34
28,5M12 6M45
28,56M34
28,4T12
28,4M34 6M12
28,3T23 4T45
28,2T34
28,2M34 3M12
27,56M12
27,4T45 5T23
27,45M45
27,36M34
27,34M12
27,2T45 3T23
27,24T34
26,2T5
26,2T12
26,25M12
26,23M12345  6T12345 
25,4T123
25,456M12345 
25,2T45 5T23
25,23456M2345  2356T2345 
24,46T12
24,46M12345  25T12345 
24,3M34  4T45
24,3M12  4T45
23,5M2345 
23,5M1245
23,56M23
23,4M12  5T45
23,45T23
23,3T1245
23,2T23 4T12
23,2T2345 
23,2N12 6N34
23,2M123 6M12
22,4M12 5M45
22,45M12
22,3T34 5T12
22,3M12 6M34
22,3M12 5M34
22,2M345  5T23
22,2M12
21,4T34
21,4T23 5T45
21,45M34
21,3T2345 
21,3N34 5N12 
21,3M34 6M12
21,34N34
21,2T23 3T45
21,2M45  4T45
21,23M34
20,5T45 6T23
20,5M23
20,36M12345 
20,2M12 6M45
20,23M23
19,5T345
19,5T2345 
19,5T12 6T23
19,4M34  5T45
19,3T12
19,2M45 6M12
19,2M34 5M12
19,23456M2345 
18,7M12345  7T12345  6N1234
18,4T34 6T12
18,4M34  4T12
18,4M12 5M34
18,4M12  2T45
18,45M23
18,3T12 5T45
18,36T12
18,2T45 3T12
18,2T12 4T34
18,2T123 4T12
18,25M45
17,5T34
17,5M12 6M34
17,4T23 5T12
17,4M45 5M23
17,4M34  5T12
17,3M45 4M23
17,3M12 5M45
17,3M12  2T45
17,2M45  4T23
17,2M45 4M34
17,2M45
17,2M34 6M45
17,2M123 5M34
17,26M45 3M12345  4T12345 56T45 
17,25M12345 4M2345  6T12345 
16,7T12
16,6M23
16,4M1234 6M12  26T1234 5T45 
16,45M1234 6M2345 
16,3N34 4N12
16,3M45  5T45
16,3M23 4M34
16,34T23
16,34M23
16,2M45 3M23
16,2M34  4T23
16,2M23 6M45
16,2M12  3T23
15,7M45
15,6T345
15,6M34  4T45
15,5M23  6T34
15,5M23  5T45
15,5M234
15,4N1234 
15,46M345
15,3T45 6T23
15,3T23 6T45
15,3M34 6M45
