36,"MICROBIOLOGIA GERAL (1200186)"
36,"MATERIAIS DE CONSTRUCAO MECANICA I"
36,"LABORATORIO DE QUIMICA ORGANICA"
36,"IMUNOLOGIA (1200086)"
36,"GESTAO DE PROJETOS"
36,"FUNDAMENTOS DE ANALISE QUIMICA"
36,"FORRAGICULTURA I"
36,"ELETRICIDADE BASICA"
36,"ECONOMIA RURAL"
36,"AGROECOLOGIA (1200035)"
36,"AGRICULTURA GERAL (1200028)"
35,"MECANICA DAS ESTRUTURAS II"
35,"MAQUINAS DE FLUXO (1200404)"
35,"CULTIVOS AGRICOLAS (1200125)"
34,"TECNOLOGIA DOS PRODUTOS DE ORIGEM ANIMAL"
34,"MECANICA DOS SOLOS II"
34,"LABORATORIO DE ELETRICIDADE BASICA"
34,"FUNDAMENTOS DE MATEMATICA (1200470)"
34,"FISICO-QUIMICA"
34,"BASES MORFOFISIOFARMACOLOGICAS II"
34,"ANALISE DE ALGORITMOS"
33,"TERMODINAMICA APLICADA"
33,"LABORATORIO DE ELETRICIDADE E MAGNETISMO (1200544)"
33,"GESTAO DA TECNOLOGIA DA INFORMACAO"
33,"FISIOLOGIA ANIMAL II (1200090)"
33,"FISICA II"
33,"ANATOMIA E MORFOLOGIA VEGETAL (1200699)"
32,"RECUPERACAO DE AREAS DEGRADADAS"
32,"MICROBIOLOGIA GERAL"
32,"GENETICA (1104031)"
32,"ESTRADAS"
32,"ESTAGIO SUPERVISIONADO I"
31,"SISTEMAS DE IRRIGACAO"
31,"LABORATORIO DE QUIMICA ORGANICA (1200749)"
31,"LABORATORIO DE ANALISE QUIMICA"
31,"GESTAO E EMPREENDEDORISMO"
31,"FUNDACOES E ESTRUTURAS DE CONTENCAO"
31,"ESTAGIO SUPERVISIONADO II"
31,"ENGENHARIA DOS TRANSPORTES"
31,"COMUNICACAO E EXTENSAO RURAL"
30,"TOPOGRAFIA"
30,"TEORIA ELETROMAGNETICA"
30,"TEORIA DA COMPUTACAO"
30,"SOCIOLOGIA DAS ORGANIZACOES (1200458)"
30,"PROCESSOS DE FABRICACAO  I"
30,"OVINOCAPRINOCULTURA"
30,"MECANICA DAS ESTRUTURAS"
30,"ESTUDO DIRIGIDO"
30,"AUTOMACAO DA PRODUCAO (1200793)"
29,"TECNICA CIRURGICA (1200102)"
29,"SILVICULTURA (1200038)"
29,"RESISTENCIA DOS MATERIAIS II"
29,"PRINCIPIOS DE PROCESSOS QUIMICOS"
29,"MELHORAMENTO ANIMAL I (1200051)"
29,"LABORATORIO DE QUIMICA APLICADA A ENGENHARIA (1200542)"
29,"LABORATORIO DE ENGENHARIA QUIMICA I"
29,"BIOTECNOLOGIA VEGETAL (1200013)"
29,"BASES MORFOFISIOFARMACOLOGICAS III"
28,"VIGILANCIA EM SAÚDE E SEMIOLOGIA INTEGRADA"
28,"TECNOLOGIA MECANICA"
28,"MICROPROCESSADORES E MICROCONTROLADORES"
28,"LABORATORIO DE CIRCUITOS ELETRONICOS"
28,"HISTOLOGIA E EMBRIOLOGIA (1108002)"
28,"FISIOLOGIA ANIMAL I (1200085)"
28,"ENGENHARIA DA QUALIDADE  I (1200767)"
28,"ANIMAIS SILVESTRES (1200118)"
27,"PROJETO E DESENVOLVIMENTO DO PRODUTO (1200791)"
27,"PROGRAMACAO DE COMPUTADORES (1200258)"
27,"PATOLOGIA E REABILITACAO DAS CONSTRUCOES"
27,"MECANICA GERAL II (1200547)"
27,"ESTRUTURAS DE CONCRETO ARMADO I"
27,"ECONOMIA POLITICA"
26,"QUIMICA INORGANICA I"
26,"ORCAMENTO, PLANEJAMENTO E CONTROLE DE OBRAS"
26,"LABORATORIO DE ONDAS E TERMODINAMICA (1200540)"
26,"LABORATORIO DE ENGENHARIA QUIMICA III"
26,"ENGENHARIA PARA AQUICULTURA"
25,"PRINCIPIOS DE ENGENHARIA DE SOFTWARE"
25,"O SER HUMANO E SEUS AGRESSORES"
25,"NUTRICAO DE MONOGASTRICOS"
25,"LIBRAS"
25,"INTRODUCAO EAD"
25,"INTRODUCAO AOS ESTUDOS LINGUISTICOS I"
25,"INTRODUCAO A COMPUTACAO"
25,"HIDROLOGIA"
25,"DIREITO EMPRESARIAL (1200759)"
25,"CULTIVO AGRICOLAS III (1200048)"
24,"TOXICOLOGIA VETERINARIA (1108036)"
24,"SALINIZACAO E DRENAGEM (1200036)"
24,"RELACAO AGUA-SOLO-PLANTA-ATMOSFERA (1200022)"
24,"QUIMICA E FERTILIDADE DO SOLO (1200021)"
24,"PLANEJAMENTO E CONTROLE DE OPERACOES II"
24,"ESTRUTURAS DE CONCRETO ARMADO II"
24,"BIOTECNOLOGIA ANIMAL"
24,"BIOLOGIA CELULAR (1200663)"
23,"TEORIA DA LITERATURA I"
23,"PRODUCAO DO CONHECIMENTO"
23,"PLANEJAMENTO E CONTROLE DE OPERACOES I"
23,"METODOLOGIA CIENTIFICA"
23,"MANUTENCAO INDUSTRIAL"
23,"LIMNOLOGIA (1200190)"
23,"INTRODUCAO À ALGEBRA LINEAR"
23,"INSTALACOES ELETRICAS"
23,"FUNDAMENTOS DE ENGENHARIA DE PRODUCAO"
23,"FONTES ALTERNATIVAS DE ENERGIA"
23,"DESENVOLVIMENTO ECONOMICO E POLITICA AGRICOLA"
23,"ALGORITMOS E ESTRUTURAS DE DADOS I"
22,"SISTEMAS DIGITAIS"
22,"PROGRAMACAO WEB"
